names,labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Train\cocci\cocci.1016.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1016.jpg
Train\cocci\cocci.1017.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1017.jpg
Train\cocci\cocci.1018.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1018.jpg
Train\cocci\cocci.1019.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1019.jpg
Train\cocci\cocci.102.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.102.jpg
Train\cocci\cocci.1020.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1020.jpg
Train\cocci\cocci.1021.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1021.jpg
Train\cocci\cocci.1022.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1022.jpg
Train\cocci\cocci.1023.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1023.jpg
Train\cocci\cocci.1024.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1024.jpg
Train\cocci\cocci.1025.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1025.jpg
Train\cocci\cocci.1026.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1026.jpg
Train\cocci\cocci.1027.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1027.jpg
Train\cocci\cocci.1028.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1028.jpg
Train\cocci\cocci.1029.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1029.jpg
Train\cocci\cocci.103.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.103.jpg
Train\cocci\cocci.1030.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1030.jpg
Train\cocci\cocci.1031.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1031.jpg
Train\cocci\cocci.1032.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1032.jpg
Train\cocci\cocci.1033.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1033.jpg
Train\cocci\cocci.1034.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1034.jpg
Train\cocci\cocci.1035.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1035.jpg
Train\cocci\cocci.1036.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1036.jpg
Train\cocci\cocci.1037.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1037.jpg
Train\cocci\cocci.1038.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1038.jpg
Train\cocci\cocci.1039.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1039.jpg
Train\cocci\cocci.104.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.104.jpg
Train\cocci\cocci.1040.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1040.jpg
Train\cocci\cocci.1041.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1041.jpg
Train\cocci\cocci.1042.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1042.jpg
Train\cocci\cocci.1043.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1043.jpg
Train\cocci\cocci.1044.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1044.jpg
Train\cocci\cocci.1045.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1045.jpg
Train\cocci\cocci.1046.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1046.jpg
Train\cocci\cocci.1047.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1047.jpg
Train\cocci\cocci.1048.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1048.jpg
Train\cocci\cocci.1049.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1049.jpg
Train\cocci\cocci.105.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.105.jpg
Train\cocci\cocci.1050.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1050.jpg
Train\cocci\cocci.1051.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1051.jpg
Train\cocci\cocci.1052.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1052.jpg
Train\cocci\cocci.1053.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1053.jpg
Train\cocci\cocci.1054.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1054.jpg
Train\cocci\cocci.1055.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1055.jpg
Train\cocci\cocci.1056.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1056.jpg
Train\cocci\cocci.1057.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1057.jpg
Train\cocci\cocci.1058.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1058.jpg
Train\cocci\cocci.1059.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1059.jpg
Train\cocci\cocci.106.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.106.jpg
Train\cocci\cocci.1060.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1060.jpg
Train\cocci\cocci.1061.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1061.jpg
Train\cocci\cocci.1062.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1062.jpg
Train\cocci\cocci.1063.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1063.jpg
Train\cocci\cocci.1064.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1064.jpg
Train\cocci\cocci.1065.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1065.jpg
Train\cocci\cocci.1066.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1066.jpg
Train\cocci\cocci.1067.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1067.jpg
Train\cocci\cocci.1068.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1068.jpg
Train\cocci\cocci.1069.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1069.jpg
Train\cocci\cocci.107.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.107.jpg
Train\cocci\cocci.1070.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1070.jpg
Train\cocci\cocci.1071.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1071.jpg
Train\cocci\cocci.1072.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1072.jpg
Train\cocci\cocci.1073.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1073.jpg
Train\cocci\cocci.1074.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1074.jpg
Train\cocci\cocci.1075.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1075.jpg
Train\cocci\cocci.1076.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1076.jpg
Train\cocci\cocci.1077.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1077.jpg
Train\cocci\cocci.1078.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1078.jpg
Train\cocci\cocci.1079.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1079.jpg
Train\cocci\cocci.108.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.108.jpg
Train\cocci\cocci.1080.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1080.jpg
Train\cocci\cocci.1081.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1081.jpg
Train\cocci\cocci.1082.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1082.jpg
Train\cocci\cocci.1083.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1083.jpg
Train\cocci\cocci.1084.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1084.jpg
Train\cocci\cocci.1085.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1085.jpg
Train\cocci\cocci.1086.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1086.jpg
Train\cocci\cocci.1087.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1087.jpg
Train\cocci\cocci.1088.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1088.jpg
Train\cocci\cocci.1089.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1089.jpg
Train\cocci\cocci.109.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.109.jpg
Train\cocci\cocci.1090.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1090.jpg
Train\cocci\cocci.1091.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1091.jpg
Train\cocci\cocci.1092.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1092.jpg
Train\cocci\cocci.1093.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1093.jpg
Train\cocci\cocci.1094.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1094.jpg
Train\cocci\cocci.1095.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1095.jpg
Train\cocci\cocci.1096.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1096.jpg
Train\cocci\cocci.1097.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1097.jpg
Train\cocci\cocci.1098.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1098.jpg
Train\cocci\cocci.1099.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1099.jpg
Train\cocci\cocci.11.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.11.jpg
Train\cocci\cocci.110.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.110.jpg
Train\cocci\cocci.1100.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1100.jpg
Train\cocci\cocci.1101.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1101.jpg
Train\cocci\cocci.1102.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1102.jpg
Train\cocci\cocci.1103.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1103.jpg
Train\cocci\cocci.1104.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1104.jpg
Train\cocci\cocci.1105.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1105.jpg
Train\cocci\cocci.1106.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1106.jpg
Train\cocci\cocci.1107.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1107.jpg
Train\cocci\cocci.1108.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1108.jpg
Train\cocci\cocci.1109.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1109.jpg
Train\cocci\cocci.111.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.111.jpg
Train\cocci\cocci.1110.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1110.jpg
Train\cocci\cocci.1111.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1111.jpg
Train\cocci\cocci.1112.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1112.jpg
Train\cocci\cocci.1113.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1113.jpg
Train\cocci\cocci.1114.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1114.jpg
Train\cocci\cocci.1115.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1115.jpg
Train\cocci\cocci.1116.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1116.jpg
Train\cocci\cocci.1117.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1117.jpg
Train\cocci\cocci.1118.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1118.jpg
Train\cocci\cocci.1119.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1119.jpg
Train\cocci\cocci.112.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.112.jpg
Train\cocci\cocci.1120.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1120.jpg
Train\cocci\cocci.1121.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1121.jpg
Train\cocci\cocci.1122.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1122.jpg
Train\cocci\cocci.1123.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1123.jpg
Train\cocci\cocci.1124.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1124.jpg
Train\cocci\cocci.1125.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1125.jpg
Train\cocci\cocci.1126.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1126.jpg
Train\cocci\cocci.1127.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1127.jpg
Train\cocci\cocci.1128.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1128.jpg
Train\cocci\cocci.1129.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1129.jpg
Train\cocci\cocci.113.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.113.jpg
Train\cocci\cocci.1130.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1130.jpg
Train\cocci\cocci.1131.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1131.jpg
Train\cocci\cocci.1132.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1132.jpg
Train\cocci\cocci.1133.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1133.jpg
Train\cocci\cocci.1134.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1134.jpg
Train\cocci\cocci.1135.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1135.jpg
Train\cocci\cocci.1136.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1136.jpg
Train\cocci\cocci.1137.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1137.jpg
Train\cocci\cocci.1138.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1138.jpg
Train\cocci\cocci.1139.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1139.jpg
Train\cocci\cocci.114.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.114.jpg
Train\cocci\cocci.1140.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1140.jpg
Train\cocci\cocci.1141.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1141.jpg
Train\cocci\cocci.1142.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1142.jpg
Train\cocci\cocci.1143.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1143.jpg
Train\cocci\cocci.1144.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1144.jpg
Train\cocci\cocci.1145.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1145.jpg
Train\cocci\cocci.1146.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1146.jpg
Train\cocci\cocci.1147.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1147.jpg
Train\cocci\cocci.1148.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1148.jpg
Train\cocci\cocci.1149.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1149.jpg
Train\cocci\cocci.115.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.115.jpg
Train\cocci\cocci.1150.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1150.jpg
Train\cocci\cocci.1151.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1151.jpg
Train\cocci\cocci.1152.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1152.jpg
Train\cocci\cocci.1153.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1153.jpg
Train\cocci\cocci.1154.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1154.jpg
Train\cocci\cocci.1155.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1155.jpg
Train\cocci\cocci.1156.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1156.jpg
Train\cocci\cocci.1157.jpg,Coccidiosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Train\cocci\,cocci.1157.jpg
